citi,discount,duration,price,title,types
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Sauraha<!-- --> (1D)</li><li class=""f12"">Gorakhpur<!-- --> (2D)</li></ul>",8,"<span class=""iblock sfc6"">7<!-- --> Days &amp; <!-- -->6<!-- --> Nights</span>","₹ 28,699/-", Nepal 7 Days Trip Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li></ul>",7,"<span class=""iblock sfc6"">5<!-- --> Days &amp; <!-- -->4<!-- --> Nights</span>","₹ 24,700/-",Nepal Water Sports Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (5D)</li><li class=""f12"">POKHARA<!-- --> (3D)</li><li class=""f12"">Sauraha<!-- --> (2D)</li></ul>",7,"<span class=""iblock sfc6"">10<!-- --> Days &amp; <!-- -->9<!-- --> Nights</span>","₹ 36,700/-",Nepal 10 Days Trip Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Sauraha<!-- --> (1D)</li><li class=""f12"">Gorakhpur<!-- --> (2D)</li></ul>",6,"<span class=""iblock sfc6"">7<!-- --> Days &amp; <!-- -->6<!-- --> Nights</span>","₹ 28,699/-",Nepal Adventure Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li></ul>",7,"<span class=""iblock sfc6"">5<!-- --> Days &amp; <!-- -->4<!-- --> Nights</span>","₹ 24,700/-",Nepal Lake Tour Package ,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">POKHARA<!-- --> (2D)</li><li class=""f12"">kathmandu<!-- --> (4D)</li><li class=""f12"">Sauraha<!-- --> (1D)</li></ul>",8,"<span class=""iblock sfc6"">7<!-- --> Days &amp; <!-- -->6<!-- --> Nights</span>","₹ 28,699/-",Nepal 1 week Trip Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li></ul>",9,"<span class=""iblock sfc6"">5<!-- --> Days &amp; <!-- -->4<!-- --> Nights</span>","₹ 29,700/-",An Expedition To Nepal,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (3D)</li></ul>",9,"<span class=""iblock sfc6"">3<!-- --> Days &amp; <!-- -->2<!-- --> Nights</span>","₹ 19,700/-",Nepal Temple Tour Package,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (4D)</li><li class=""f12"">POKHARA<!-- --> (2D)</li></ul>",9,"<span class=""iblock sfc6"">6<!-- --> Days &amp; <!-- -->5<!-- --> Nights</span>","₹ 30,700/-",Amazing Nepal Tour Package From Chennai,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (4D)</li></ul>",9,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 16,699/-",Explore The Charms Of Mystic Kathmandu,3
"<ul class=""clearfix package-cities-list at_packagecity_list""><li class=""f12"">kathmandu<!-- --> (2D)</li><li class=""f12"">Changunarayan<!-- --> (2D)</li></ul>",9,"<span class=""iblock sfc6"">4<!-- --> Days &amp; <!-- -->3<!-- --> Nights</span>","₹ 27,699/-",Sprightly Kathmandu Tour Package From Delhi,3
